,Dataset,Seed,Model,ROC,PR
118,BIOSNAP_missing_data_95,4,BT_XGB,0.8815910129178891,0.9000951702832507
119,BIOSNAP_missing_data_95,4,BT_XGB_Opt,0.8944832645756432,0.910309380889159
120,BIOSNAP_unseen_drug,0,XGB,0.8714310787698654,0.8965437705339792
121,BIOSNAP_unseen_drug,0,XGB_Opt,0.888755837117985,0.9165468886415518
122,BIOSNAP_unseen_drug,0,BT_XGB,0.9451589553720703,0.9535980184810046
123,BIOSNAP_unseen_drug,0,BT_XGB_Opt,0.9539668701517492,0.9611805924877832
124,BIOSNAP_unseen_drug,1,XGB,0.8714310787698654,0.8965437705339792
125,BIOSNAP_unseen_drug,1,XGB_Opt,0.8916524568741874,0.9178230062590885
126,BIOSNAP_unseen_drug,1,BT_XGB,0.9451589553720703,0.9535980184810046
127,BIOSNAP_unseen_drug,1,BT_XGB_Opt,0.9547477147963332,0.9612500898575689
128,BIOSNAP_unseen_drug,2,XGB,0.8714310787698654,0.8965437705339792
129,BIOSNAP_unseen_drug,2,XGB_Opt,0.8907909014624023,0.9167011786970655
130,BIOSNAP_unseen_drug,2,BT_XGB,0.9451589553720703,0.9535980184810046
131,BIOSNAP_unseen_drug,2,BT_XGB_Opt,0.9543642105398014,0.9610368754966856
132,BIOSNAP_unseen_drug,3,XGB,0.8714310787698654,0.8965437705339792
133,BIOSNAP_unseen_drug,3,XGB_Opt,0.8918867102675626,0.9171875104441823
134,BIOSNAP_unseen_drug,3,BT_XGB,0.9451589553720703,0.9535980184810046
135,BIOSNAP_unseen_drug,3,BT_XGB_Opt,0.9545541370673807,0.9613749015612741
136,BIOSNAP_unseen_drug,4,XGB,0.8714310787698654,0.8965437705339792
137,BIOSNAP_unseen_drug,4,XGB_Opt,0.8929811738932697,0.9187925596130726
138,BIOSNAP_unseen_drug,4,BT_XGB,0.9451589553720703,0.9535980184810046
139,BIOSNAP_unseen_drug,4,BT_XGB_Opt,0.9541402701889017,0.9611449158019804
140,BIOSNAP_unseen_protein,0,XGB,0.8272937219012992,0.8341899919253258
141,BIOSNAP_unseen_protein,0,XGB_Opt,0.8727997836087567,0.8784789956750079
142,BIOSNAP_unseen_protein,0,BT_XGB,0.9362780593772628,0.9388607076955611
143,BIOSNAP_unseen_protein,0,BT_XGB_Opt,0.9459889815736002,0.948719196354489
144,BIOSNAP_unseen_protein,1,XGB,0.8272937219012992,0.8341899919253258
145,BIOSNAP_unseen_protein,1,XGB_Opt,0.8750238047220703,0.8837697033793336
146,BIOSNAP_unseen_protein,1,BT_XGB,0.9362780593772628,0.9388607076955611
147,BIOSNAP_unseen_protein,1,BT_XGB_Opt,0.9443081154019219,0.9476309249936842
148,BIOSNAP_unseen_protein,2,XGB,0.8272937219012992,0.8341899919253258
149,BIOSNAP_unseen_protein,2,XGB_Opt,0.8768759384959012,0.8852894849408166
150,BIOSNAP_unseen_protein,2,BT_XGB,0.9362780593772628,0.9388607076955611
151,BIOSNAP_unseen_protein,2,BT_XGB_Opt,0.9453150059912061,0.9485771711507742
152,BIOSNAP_unseen_protein,3,XGB,0.8272937219012992,0.8341899919253258
153,BIOSNAP_unseen_protein,3,XGB_Opt,0.8749340630264776,0.8826971290438622
154,BIOSNAP_unseen_protein,3,BT_XGB,0.9362780593772628,0.9388607076955611
155,BIOSNAP_unseen_protein,3,BT_XGB_Opt,0.9467709561605497,0.9498356287346968
156,BIOSNAP_unseen_protein,4,XGB,0.8272937219012992,0.8341899919253258
157,BIOSNAP_unseen_protein,4,XGB_Opt,0.8737922790121279,0.8818658786846789
158,BIOSNAP_unseen_protein,4,BT_XGB,0.9362780593772628,0.9388607076955611
159,BIOSNAP_unseen_protein,4,BT_XGB_Opt,0.9456813459175816,0.948745485753526
160,DAVIS,0,XGB,0.9285205062202087,0.47820168091880877
161,DAVIS,0,XGB_Opt,0.9378337623531099,0.5525559234557769
162,DAVIS,0,BT_XGB,0.943955967075334,0.5238483485464397
163,DAVIS,0,BT_XGB_Opt,0.9490145843596273,0.5540982792683439
164,DAVIS,1,XGB,0.9285205062202087,0.47820168091880877
165,DAVIS,1,XGB_Opt,0.9372185641829774,0.5500104023729631
166,DAVIS,1,BT_XGB,0.943955967075334,0.5238483485464397
167,DAVIS,1,BT_XGB_Opt,0.9479958069387878,0.5528006678643644
168,DAVIS,2,XGB,0.9285205062202087,0.47820168091880877
169,DAVIS,2,XGB_Opt,0.9375380162403065,0.5527155657097409
170,DAVIS,2,BT_XGB,0.943955967075334,0.5238483485464397
171,DAVIS,2,BT_XGB_Opt,0.9483970734144193,0.5519815493592979
172,DAVIS,3,XGB,0.9285205062202087,0.47820168091880877
173,DAVIS,3,XGB_Opt,0.9380300591376587,0.5580460851385092
174,DAVIS,3,BT_XGB,0.943955967075334,0.5238483485464397
175,DAVIS,3,BT_XGB_Opt,0.946961129189303,0.5516074646246562
176,DAVIS,4,XGB,0.9285205062202087,0.47820168091880877
177,DAVIS,4,XGB_Opt,0.9378716340449742,0.5533634043430893
178,DAVIS,4,BT_XGB,0.943955967075334,0.5238483485464397
179,DAVIS,4,BT_XGB_Opt,0.9475318064392283,0.5513501820360234
